time,device_id,lat,lng,speed,direction
2026-04-28 20:50:52,014084725763,34.253475,108.995471,41.6,64
2026-04-28 20:50:53,014084725763,34.253479,108.995486,41.6,39
2026-04-28 20:50:56,014084725763,34.253503,108.995525,41.7,32
2026-04-28 20:50:56,014084725763,34.253503,108.995525,41.7,32
2026-04-28 20:50:57,014084725763,34.253511,108.995540,41.6,59
2026-04-28 20:50:58,014084725763,34.253522,108.995540,41.6,58
2026-04-28 20:50:59,014084725763,34.253518,108.995540,41.6,29
2026-04-28 20:51:00,014084725763,34.253526,108.995540,41.5,44
2026-04-28 20:51:02,014084725763,34.253526,108.995540,41.5,44
2026-04-28 20:51:02,014084725763,34.253553,108.995570,41.5,52
2026-04-28 20:51:03,014084725763,34.253572,108.995570,41.5,34
2026-04-28 20:51:04,014084725763,34.253583,108.995570,41.5,38
2026-04-28 20:51:10,014084725763,34.253595,108.995570,41.6,31
2026-04-28 20:51:15,014084725763,34.253606,108.995570,41.5,36
2026-04-28 20:51:20,014084725763,34.253606,108.995570,41.5,36
2026-04-28 20:51:23,014084725763,34.253637,108.995570,41.5,63
2026-04-28 20:51:24,014084725763,34.253648,108.995555,41.5,49
2026-04-28 20:51:24,014084725763,34.253656,108.995570,41.5,47
2026-04-28 20:51:39,014084725763,34.253845,108.995357,41.6,27
2026-04-28 20:51:40,014084725763,34.253849,108.995357,41.5,31
2026-04-28 20:51:41,014084725763,34.253853,108.995341,41.5,35
2026-04-28 20:51:43,014084725763,34.253853,108.995325,41.5,33
2026-04-28 20:51:44,014084725763,34.253853,108.995325,41.5,33
2026-04-28 20:51:45,014084725763,34.253853,108.995310,41.4,14
2026-04-28 20:51:46,014084725763,34.253853,108.995295,41.4,56
2026-04-28 20:51:47,014084725763,34.253857,108.995280,41.4,47
2026-04-28 20:51:48,014084725763,34.253845,108.995280,41.4,71
2026-04-28 20:51:48,014084725763,34.253845,108.995280,41.4,71
2026-04-28 20:51:49,014084725763,34.253845,108.995264,41.4,64
2026-04-28 20:51:51,014084725763,34.253826,108.995226,41.3,60
2026-04-28 20:51:52,014084725763,34.253819,108.995211,41.4,34
2026-04-28 20:51:53,014084725763,34.253815,108.995196,41.5,47
2026-04-28 20:51:54,014084725763,34.253815,108.995196,41.5,47
2026-04-28 20:51:54,014084725763,34.253826,108.995165,41.4,9
2026-04-28 20:51:55,014084725763,34.253838,108.995135,41.4,35
2026-04-28 20:51:56,014084725763,34.253818,108.995095,41.4,30
2026-04-28 20:51:57,014084725763,34.253821,108.995095,41.5,43
2026-04-28 20:51:57,014084725763,34.253825,108.995080,41.5,46
2026-04-28 20:51:59,014084725763,34.253825,108.995080,41.5,46
2026-04-28 20:51:59,014084725763,34.253814,108.995065,41.4,53
2026-04-28 20:52:01,014084725763,34.253818,108.995050,41.5,37
2026-04-28 20:52:01,014084725763,34.253821,108.995034,41.6,69
2026-04-28 20:52:03,014084725763,34.253825,108.995019,41.5,32
2026-04-28 20:52:04,014084725763,34.253825,108.995019,41.5,32
2026-04-28 20:52:04,014084725763,34.253799,108.995019,41.4,37
2026-04-28 20:52:05,014084725763,34.253806,108.994996,41.5,30
2026-04-28 20:52:06,014084725763,34.253799,108.994966,41.5,51
2026-04-28 20:52:07,014084725763,34.253783,108.994981,41.5,22
2026-04-28 20:52:08,014084725763,34.253776,108.994950,41.6,94
2026-04-28 20:52:09,014084725763,34.253791,108.994935,41.5,87
2026-04-28 20:52:09,014084725763,34.253791,108.994935,41.5,87
2026-04-28 20:52:10,014084725763,34.253799,108.994935,41.5,83
2026-04-28 20:52:11,014084725763,34.253791,108.994920,41.5,83
2026-04-28 20:52:12,014084725763,34.253802,108.994905,41.5,53
2026-04-28 20:52:13,014084725763,34.253795,108.994889,41.5,50
2026-04-28 20:52:14,014084725763,34.253760,108.994866,41.5,11
2026-04-28 20:52:14,014084725763,34.253760,108.994866,41.5,11
2026-04-28 20:52:15,014084725763,34.253772,108.994835,41.6,7
2026-04-28 20:52:16,014084725763,34.253772,108.994820,41.5,18
2026-04-28 20:52:17,014084725763,34.253772,108.994820,41.6,42
2026-04-28 20:52:18,014084725763,34.253768,108.994804,41.6,57
2026-04-28 20:52:19,014084725763,34.253768,108.994804,41.6,57
2026-04-28 20:52:19,014084725763,34.253740,108.994751,41.6,57
2026-04-28 20:52:22,014084725763,34.253752,108.994736,41.6,54
2026-04-28 20:52:23,014084725763,34.253759,108.994705,41.6,44
2026-04-28 20:52:24,014084725763,34.253771,108.994690,41.6,37
2026-04-28 20:52:25,014084725763,34.253771,108.994690,41.6,37
2026-04-28 20:52:26,014084725763,34.253771,108.994690,41.7,49
2026-04-28 20:52:26,014084725763,34.253775,108.994675,41.7,39
2026-04-28 20:52:27,014084725763,34.253767,108.994644,41.7,28
